# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 23 20:23:55 2018
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
rowid,plntname,centralwavelng,bandwidth,plntransdep,plnradj,plnratror,plntranmid,plntranreflink,facility,instrument
1,WASP-12 b,0.33500,0.09000,,,0.12135,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
2,WASP-12 b,0.40500,0.05000,,,0.12000,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
3,WASP-12 b,0.50200,0.04400,,,0.12022,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
4,WASP-12 b,0.54700,0.04600,,,0.12067,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
5,WASP-12 b,0.55500,0.05000,,,0.11973,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
6,WASP-12 b,0.60500,0.05000,,,0.12012,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
7,WASP-12 b,0.65500,0.05000,,,0.12033,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
8,WASP-12 b,0.70500,0.05000,,,0.11925,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
9,WASP-12 b,0.76000,0.06000,,,0.11951,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
10,WASP-12 b,0.82000,0.06000,,,0.11947,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
11,WASP-12 b,0.94000,0.18000,,,0.11967,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
12,WASP-12 b,1.16300,0.05200,,,0.11975,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
13,WASP-12 b,1.21500,0.05200,,,0.11902,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
14,WASP-12 b,1.26700,0.05200,,,0.11912,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
15,WASP-12 b,1.31900,0.05200,,,0.11829,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
16,WASP-12 b,1.37100,0.05200,,,0.11977,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
17,WASP-12 b,1.42300,0.05200,,,0.11913,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
18,WASP-12 b,1.47500,0.05200,,,0.11926,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
19,WASP-12 b,1.52700,0.05200,,,0.11989,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
20,WASP-12 b,1.57900,0.05200,,,0.11849,2454508.977005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013MNRAS.436.2956S target=ref> Sing et al. 2013</a>,Hubble Space Telescope satellite,Space Telescope Imaging Spectrograph
